,평균기온,강수량,cold,flu,pneumonia,coronavirus
2020-06-15,23.5,0,0.107,0.032,0.119,2.484
2020-06-16,22.3,0,0.096,0.036,0.127,2.362
2020-06-17,22.8,0,0.103,0.032,0.12,8.082
2020-06-18,21.3,0.267,0.106,0.034,0.128,2.28
2020-06-19,21.4,0.487,0.1,0.028,0.124,2.298
2020-06-20,22.1,0.067,0.118,0.026,0.092,2.2
2020-06-21,23.1,0,0.125,0.028,0.092,2.213
2020-06-22,24.7,0,0.111,0.037,0.123,2.466
2020-06-23,23.9,0.686,0.102,0.036,0.121,2.505
2020-06-24,20.8,26.905,0.12,0.034,0.128,2.207
2020-06-25,20.4,6.021,0.121,0.042,0.119,2.17
2020-06-26,22,1.162,0.114,0.03,0.113,2.151
2020-06-27,23,1.638,0.106,0.021,0.084,1.968
2020-06-28,22.4,0.65,0.126,0.029,0.081,2.197
2020-06-29,21.7,12.3,0.143,0.043,0.113,2.415
2020-06-30,19.3,70.13,,,,
2020-07-01,19.4,5.19,,,,
